Individu,Deskripsi,efek samping,kategori,bentuk,memiliki kandungan aktif
Pilek,"DeskripsPilek adalah kondisi ketika hidung mengeluarkan ingus atau lendir, baik sesekali maupun terus-menerus. Lendir yang keluar dapat terlihat bening, hijau, atau kekuningan. Sedangkan teksturnya bisa encer atau kental, tergantung pada penyebab yang mendasarinya.i",,,,
Doxycycline,"Mengatasi berbagai penyakit akibat infeksi bakteri, termasuk mengobati jerawat yang parah
Mencegah terjadinya malaria pada orang yang hendak berpergian atau menetap di daerah rawan malaria","Diare, hilang selera makan, mual, sakit perut, sunburn, ",Antibiotik tetracycline,kapsul,
Dohixat,,,,Kapsul,Doxycycline
Klorokuin,"Mencegah dan mengatasi malaria, mengatasi amebiasis yang menyebar ke liver, rheumatoid arthritis, dan lupus","Diare, mual, kram perut, sakit kepala",Antimalaria,Kapsul,
Dihydroartemisinin-Piperaquine,Mengobati malaria,"Batuk, diare, hilang selera makan, mual, mudah lelah, pilek, pucat, sakit kepala",Antimalaria,Tablet,
Penisilin,"Mengatasi infeksi bakteri, mengobati infeksi saluran pernapasan","Diare, keputihan, mual, sakit kepala, sakit perut, sariawan",Antibiotik,"Kapsul, suntik, tablet",
Paracetamol,Meredakan demam dan nyeri,"Feses berwarna seperti tanah liat, insomnia, memar, mual, penyakit kuning, urine berwarna gelap","Analgesik, Antipiretik","Sirop, tablet, tetes",
Kina,Dapat mengobati malaria,"Mual, pendengaran berkurang, penglihatan buram, sakit kepala, telinga berdengin, wajah memerah, wajah panas",Antimalaria,"Suntik, tablet",
Pyrimethamine,Mengobati toksoplasmosis atau mencegah dan mengobati malaria,"Diare, hilang selera makan, mual, sakit perut","Antimalaria, antiparasit",Tablet,
Artesunate,Mengobati malaria berat,"Diare, mual, pusing, sakit perut",Antimalaria,Suntik,
